site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost
0,MPLS_1,70,8,0.6,23,43,11500,2000
0,MPLS_2,83,7,0.78,28,53,22400,4800
0,MPLS_0,85,14,1.07,104,163,83200,4000
0,Internet,151,18,9,88,88,8800,0
1,MPLS_2,107,16,1.33,83,138,58100,7000
1,MPLS_1,61,8,0.62,43,72,25800,6000
1,Internet,177,18,4,82,82,8200,0
2,MPLS_2,137,16,1.96,54,89,43200,7200
2,MPLS_0,71,12,0.4,24,47,19200,4800
2,Internet,168,12,7,35,35,3500,0
3,MPLS_0,85,12,0.55,13,21,6500,2500
3,MPLS_2,132,12,1.47,43,85,34400,4800
3,Internet,205,15,1,29,29,2900,0
4,MPLS_0,87,14,1.4,51,93,35700,4900
4,MPLS_1,89,7,0.73,19,36,11400,4800
4,Internet,203,17,6,58,58,5800,0
5,MPLS_2,80,8,0.66,16,28,12800,5600
5,MPLS_1,102,15,1.74,49,79,39200,2400
5,Internet,159,19,4,45,45,4500,0
6,MPLS_0,82,9,0.54,9,15,5400,3600
6,MPLS_2,85,11,0.69,7,13,4200,1800
6,MPLS_1,120,16,1.69,46,80,32200,5600
6,Internet,153,18,7,28,28,2800,0
7,MPLS_2,75,11,0.62,125,221,75000,5400
7,Internet,208,20,9,54,54,5400,0
8,MPLS_2,83,7,0.48,7,13,4900,3500
8,MPLS_0,74,12,0.45,5,8,3500,5600
8,MPLS_1,149,15,1.9,27,51,18900,2100
8,Internet,150,18,2,22,22,2200,0
9,MPLS_0,67,8,0.62,32,57,19200,3600
9,MPLS_2,137,16,1.89,129,209,64500,2500
9,MPLS_1,68,8,0.77,32,63,25600,7200
9,Internet,197,15,7,97,97,9700,0
10,MPLS_2,138,15,1.49,596,975,357600,4800
10,MPLS_0,69,13,0.77,254,482,127000,3500
10,Internet,155,15,1,546,546,54600,0
11,MPLS_2,95,14,1.88,36,70,28800,4000
11,MPLS_1,86,12,0.68,11,21,5500,2000
11,Internet,213,20,4,36,36,3600,0
12,MPLS_0,82,7,0.57,8,13,4800,4800
12,MPLS_2,105,14,1.31,21,37,14700,5600
12,Internet,212,13,7,24,24,2400,0
13,MPLS_2,79,13,0.46,45,86,27000,4200
13,Internet,220,15,7,28,28,2800,0
14,MPLS_2,136,15,1.14,10,19,7000,2800
14,MPLS_1,76,12,0.73,4,6,2400,1800
14,Internet,166,13,4,8,8,800,0
15,MPLS_1,61,9,0.68,519,1033,259500,5000
15,Internet,205,13,6,298,298,29800,0
16,MPLS_1,70,11,0.62,61,91,30500,5000
16,Internet,201,13,9,39,39,3900,0
17,MPLS_1,107,12,0.8,83,139,58100,5600
17,MPLS_2,82,13,0.58,37,65,29600,7200
17,Internet,187,17,10,81,81,8100,0
18,MPLS_0,75,11,0.54,11,21,7700,2100
18,MPLS_2,87,16,1.35,40,60,32000,6400
18,MPLS_1,69,13,0.77,9,14,6300,6300
18,Internet,194,18,1,43,43,4300,0
19,MPLS_1,63,8,0.63,113,176,67800,3600
19,Internet,162,19,7,49,49,4900,0
20,MPLS_0,85,11,0.48,12,22,9600,6400
20,MPLS_2,90,14,0.8,36,62,18000,1500
20,Internet,165,20,9,20,20,2000,0
21,MPLS_0,80,14,1.51,129,207,64500,4500
21,MPLS_1,70,13,0.46,57,100,28500,2000
21,Internet,144,12,7,125,125,12500,0
22,MPLS_2,77,12,0.47,49,76,24500,4500
22,MPLS_1,142,13,1.44,111,200,88800,3200
22,Internet,140,18,10,146,146,14600,0
23,MPLS_0,74,8,0.68,8,12,6400,4000
23,MPLS_2,135,16,1.84,26,41,13000,3500
23,Internet,216,18,7,17,17,1700,0
24,MPLS_1,61,13,0.51,13,22,9100,3500
24,MPLS_0,64,13,0.48,12,19,6000,4000
24,MPLS_2,131,15,1.09,79,131,55300,6300
24,Internet,187,14,9,73,73,7300,0
25,MPLS_2,89,10,0.73,2,3,1600,7200
25,MPLS_1,75,11,0.77,2,3,1200,3000
25,MPLS_0,122,16,1.15,10,15,6000,3600
25,Internet,153,19,7,5,5,500,0
26,MPLS_1,95,14,1.07,13,20,9100,2800
26,MPLS_2,88,8,0.42,5,9,2500,1500
26,Internet,191,20,2,10,10,1000,0
27,MPLS_1,147,15,1.21,34,57,17000,2000
27,MPLS_0,88,8,0.63,11,18,6600,4200
27,Internet,188,14,4,25,25,2500,0
28,MPLS_1,91,16,1.22,190,287,95000,2000
28,MPLS_0,67,10,0.48,69,117,34500,4500
28,Internet,184,15,2,173,173,17300,0
29,MPLS_1,88,12,1.91,38,59,26600,6300
29,MPLS_0,88,12,0.5,23,34,13800,3600
29,Internet,169,19,6,41,41,4100,0
30,MPLS_0,61,11,0.52,18,35,9000,2000
30,MPLS_1,122,15,1.69,46,85,32200,5600
30,Internet,172,20,7,59,59,5900,0
31,MPLS_2,124,15,1.68,153,232,76500,5000
31,MPLS_1,61,11,0.5,39,69,19500,5000
31,MPLS_0,65,7,0.43,38,66,19000,2000
31,Internet,178,13,9,165,165,16500,0
32,MPLS_2,80,9,0.54,4,7,2800,2100
32,MPLS_1,80,14,1.51,20,33,16000,5600
32,MPLS_0,64,11,0.56,3,5,2100,7000
32,Internet,198,15,1,18,18,1800,0
33,MPLS_2,87,11,0.54,9,16,6300,5600
33,MPLS_1,91,14,1.89,29,53,17400,3000
33,Internet,146,17,9,23,23,2300,0
34,MPLS_0,145,14,1.59,61,107,30500,1500
34,MPLS_2,61,13,0.67,26,50,18200,2800
34,Internet,149,18,3,68,68,6800,0
35,MPLS_0,68,11,0.66,12,18,8400,2100
35,MPLS_1,89,13,1.57,38,75,30400,4000
35,Internet,158,12,8,19,19,1900,0
36,MPLS_1,87,13,0.57,35,62,17500,3500
36,MPLS_2,98,15,2.1,178,299,106800,4200
36,MPLS_0,86,8,0.72,31,47,15500,3000
36,Internet,187,16,9,99,99,9900,0
37,MPLS_1,130,12,1.55,12,20,9600,3200
37,MPLS_2,84,10,0.79,5,7,3500,7000
37,Internet,156,20,10,7,7,700,0
38,MPLS_2,85,12,0.48,39,74,27300,2800
38,MPLS_1,101,12,0.91,141,270,84600,5400
38,MPLS_0,83,9,0.52,27,41,21600,5600
38,Internet,142,19,5,109,109,10900,0
39,MPLS_2,84,12,0.78,16,28,11200,3500
39,MPLS_0,139,13,0.97,47,75,37600,4000
39,Internet,172,15,5,38,38,3800,0
40,MPLS_1,80,15,0.91,113,195,56500,2500
40,MPLS_0,86,10,0.43,35,66,24500,3500
40,Internet,206,15,4,80,80,8000,0
41,MPLS_2,70,7,0.65,6,9,4800,3200
41,MPLS_1,94,13,1.64,19,36,13300,7000
41,Internet,150,12,4,21,21,2100,0
42,MPLS_1,76,10,0.42,3,5,1500,1500
42,MPLS_0,74,13,0.55,3,5,1500,1500
42,MPLS_2,112,13,1.04,18,33,12600,7000
42,Internet,176,15,2,15,15,1500,0
43,MPLS_1,82,11,0.63,11,17,7700,7000
43,MPLS_0,89,10,0.65,12,20,9600,6400
43,MPLS_2,99,15,2.02,55,98,33000,1800
43,Internet,198,18,8,50,50,5000,0
44,MPLS_2,83,10,0.73,2,3,1200,5400
44,MPLS_0,87,12,0.46,3,5,1800,5400
44,MPLS_1,113,12,1.2,13,24,6500,2500
44,Internet,212,16,1,9,9,900,0
45,MPLS_1,88,10,0.5,8,12,4000,3000
45,MPLS_2,108,14,1.24,22,39,17600,3200
45,Internet,184,17,2,14,14,1400,0
46,MPLS_0,86,10,0.44,3,5,2400,8000
46,MPLS_1,89,10,0.68,4,7,2800,4900
46,MPLS_2,120,14,1.48,20,39,16000,4000
46,Internet,196,17,1,17,17,1700,0
47,MPLS_0,123,15,2.07,78,155,39000,4000
47,MPLS_1,70,8,0.49,31,60,21700,3500
47,Internet,144,15,5,39,39,3900,0
48,MPLS_2,75,12,0.55,37,62,22200,6000
48,MPLS_1,140,15,1.42,95,182,47500,2000
48,Internet,215,15,10,100,100,10000,0
49,MPLS_0,148,15,1.12,71,134,49700,7000
49,MPLS_2,69,9,0.5,13,24,10400,4800
49,MPLS_1,66,12,0.5,14,24,7000,4000
49,Internet,166,19,6,48,48,4800,0
50,MPLS_2,80,13,0.59,82,148,41000,3500
50,MPLS_0,108,14,1.19,218,376,130800,6000
50,Internet,180,20,3,120,120,12000,0
51,MPLS_1,142,13,1.9,201,388,140700,4200
51,MPLS_0,70,7,0.48,76,118,45600,3600
51,Internet,210,20,5,142,142,14200,0
52,MPLS_2,87,12,2.09,21,41,16800,8000
52,MPLS_1,87,7,0.7,5,7,3500,2100
52,MPLS_0,85,10,0.49,4,6,2000,2000
52,Internet,140,18,4,27,27,2700,0
53,MPLS_0,101,16,0.96,49,77,29400,3600
53,MPLS_2,69,7,0.55,19,35,9500,5000
53,Internet,203,16,10,67,67,6700,0
54,MPLS_0,131,15,1.34,4,7,3200,4000
54,MPLS_1,69,10,0.55,3,6,1500,2500
54,Internet,151,12,4,4,4,400,0
55,MPLS_2,127,13,2.06,18,34,10800,4200
55,MPLS_1,86,7,0.63,5,8,3500,3500
55,Internet,174,17,8,12,12,1200,0
56,MPLS_0,82,13,0.43,108,188,54000,3000
