LinkID,site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost
0,0,MPLS_1,70,8,0.6,23,43,11500,2000
1,0,MPLS_2,83,7,0.78,28,53,22400,4800
2,0,MPLS_0,85,14,1.07,104,163,83200,4000
3,0,Internet,151,18,9.0,88,88,8800,0
4,1,MPLS_2,107,16,1.33,83,138,58100,7000
5,1,MPLS_1,61,8,0.62,43,72,25800,6000
6,1,Internet,177,18,4.0,82,82,8200,0
7,2,MPLS_2,137,16,1.96,54,89,43200,7200
8,2,MPLS_0,71,12,0.4,24,47,19200,4800
9,2,Internet,168,12,7.0,35,35,3500,0
10,3,MPLS_0,85,12,0.55,13,21,6500,2500
11,3,MPLS_2,132,12,1.47,43,85,34400,4800
12,3,Internet,205,15,1.0,29,29,2900,0
13,4,MPLS_0,87,14,1.4,51,93,35700,4900
14,4,MPLS_1,89,7,0.73,19,36,11400,4800
15,4,Internet,203,17,6.0,58,58,5800,0
16,5,MPLS_2,80,8,0.66,16,28,12800,5600
17,5,MPLS_1,102,15,1.74,49,79,39200,2400
18,5,Internet,159,19,4.0,45,45,4500,0
19,6,MPLS_0,82,9,0.54,9,15,5400,3600
20,6,MPLS_2,85,11,0.69,7,13,4200,1800
21,6,MPLS_1,120,16,1.69,46,80,32200,5600
22,6,Internet,153,18,7.0,28,28,2800,0
23,7,MPLS_2,75,11,0.62,125,221,75000,5400
24,7,Internet,208,20,9.0,54,54,5400,0
25,8,MPLS_2,83,7,0.48,7,13,4900,3500
26,8,MPLS_0,74,12,0.45,5,8,3500,5600
27,8,MPLS_1,149,15,1.9,27,51,18900,2100
28,8,Internet,150,18,2.0,22,22,2200,0
29,9,MPLS_0,67,8,0.62,32,57,19200,3600
30,9,MPLS_2,137,16,1.89,129,209,64500,2500
31,9,MPLS_1,68,8,0.77,32,63,25600,7200
32,9,Internet,197,15,7.0,97,97,9700,0
33,10,MPLS_2,138,15,1.49,596,975,357600,4800
34,10,MPLS_0,69,13,0.77,254,482,127000,3500
35,10,Internet,155,15,1.0,546,546,54600,0
36,11,MPLS_2,95,14,1.88,36,70,28800,4000
37,11,MPLS_1,86,12,0.68,11,21,5500,2000
38,11,Internet,213,20,4.0,36,36,3600,0
39,12,MPLS_0,82,7,0.57,8,13,4800,4800
40,12,MPLS_2,105,14,1.31,21,37,14700,5600
41,12,Internet,212,13,7.0,24,24,2400,0
