site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost_unit
0,MPLS_2,151,16,0.93,117,233,81900,4900
0,MPLS_0,75,8,0.74,62,102,43400,6300
0,Internet,182,12,9,77,77,7700,0
1,MPLS_1,71,7,0.53,36,55,18000,2000
1,MPLS_2,94,16,1.6,89,158,44500,1500
1,Internet,195,19,6,60,60,6000,0
2,MPLS_0,76,7,0.58,24,40,14400,4800
2,MPLS_2,151,12,0.81,60,119,30000,2000
2,Internet,182,15,6,47,47,4700,0
3,MPLS_1,89,10,0.51,50,99,35000,6300
3,Internet,220,18,6,31,31,3100,0
4,MPLS_0,65,11,0.63,20,36,12000,4800
4,MPLS_2,111,13,1.09,58,110,40600,3500
4,Internet,195,18,2,49,49,4900,0
5,MPLS_1,75,10,0.46,15,28,7500,2000
5,MPLS_2,115,16,1.49,42,65,29400,3500
5,Internet,182,13,5,25,25,2500,0
6,MPLS_2,85,9,0.6,8,15,4800,5400
6,MPLS_1,62,8,0.42,8,14,6400,8000
6,MPLS_0,145,13,1.7,31,48,21700,5600
6,Internet,169,16,3,32,32,3200,0
7,MPLS_2,61,9,0.71,20,31,12000,2400
7,MPLS_1,87,15,1.96,73,134,43800,4800
7,MPLS_0,61,12,0.71,17,26,13600,6400
7,Internet,210,12,7,83,83,8300,0
8,MPLS_2,96,16,1.37,29,54,14500,3000
8,MPLS_1,65,8,0.75,12,18,6000,3000
8,Internet,167,16,9,28,28,2800,0
9,MPLS_1,68,7,0.57,74,117,51800,7000
9,MPLS_2,109,16,1.91,189,324,132300,3500
9,Internet,168,18,1,121,121,12100,0
10,MPLS_1,81,13,0.59,204,388,163200,4800
10,MPLS_2,82,15,1.02,562,853,393400,5600
10,Internet,210,14,3,489,489,48900,0
11,MPLS_1,134,14,1.96,30,47,21000,3500
11,MPLS_2,84,11,0.65,13,24,10400,2400
11,Internet,156,12,10,24,24,2400,0
12,MPLS_0,87,7,0.66,30,59,18000,1800
12,Internet,180,14,7,16,16,1600,0
13,MPLS_0,69,7,0.41,6,9,3600,6000
13,MPLS_2,126,14,1.96,38,65,19000,4000
13,MPLS_1,76,11,0.77,8,13,6400,3200
13,Internet,141,20,4,20,20,2000,0
14,MPLS_1,87,13,1.66,9,16,4500,4500
14,MPLS_0,77,9,0.74,5,9,3500,5600
14,Internet,192,17,2,6,6,600,0
15,MPLS_2,62,9,0.47,78,132,62400,8000
15,MPLS_1,120,12,0.98,451,804,225500,3500
15,MPLS_0,70,9,0.58,71,126,56800,2400
15,Internet,204,14,10,354,354,35400,0
16,MPLS_2,93,12,1.34,42,74,21000,3500
16,MPLS_0,85,12,0.43,15,25,10500,4200
16,Internet,209,14,7,40,40,4000,0
17,MPLS_2,81,12,0.48,31,59,24800,8000
17,MPLS_0,118,13,1.37,82,130,65600,8000
17,Internet,197,12,9,55,55,5500,0
18,MPLS_0,61,7,0.55,18,27,9000,4000
18,MPLS_1,141,14,0.96,51,81,25500,4000
18,Internet,186,20,5,52,52,5200,0
19,MPLS_0,141,14,2,81,154,56700,2800
19,MPLS_2,76,10,0.47,16,29,8000,3500
19,MPLS_1,81,11,0.7,14,24,7000,3500
19,Internet,190,14,7,73,73,7300,0
20,MPLS_0,98,15,1.25,28,47,19600,5600
20,MPLS_2,67,13,0.67,14,24,7000,1500
20,Internet,152,13,4,23,23,2300,0
21,MPLS_0,64,8,0.53,29,43,20300,5600
21,MPLS_2,107,12,1.21,141,246,98700,5600
21,MPLS_1,81,11,0.54,28,48,22400,5600
21,Internet,169,14,5,146,146,14600,0
22,MPLS_0,82,11,0.74,55,102,33000,3600
22,MPLS_2,146,12,0.81,131,253,78600,3600
22,Internet,150,17,6,122,122,12200,0
23,MPLS_0,107,15,0.85,22,40,15400,3500
23,MPLS_1,85,10,0.78,9,14,5400,6000
23,Internet,170,12,1,26,26,2600,0
24,MPLS_0,145,16,1.66,62,105,37200,6000
24,MPLS_2,86,10,0.72,15,23,12000,8000
24,MPLS_1,80,9,0.64,15,28,12000,3200
24,Internet,174,20,8,59,59,5900,0
25,MPLS_1,99,15,1.04,12,18,9600,4800
25,MPLS_0,64,12,0.77,5,8,4000,8000
25,Internet,201,20,1,6,6,600,0
26,MPLS_0,94,12,1.64,12,22,9600,3200
26,MPLS_2,87,7,0.76,6,10,4200,5600
26,Internet,166,17,7,15,15,1500,0
27,MPLS_1,148,13,0.86,35,61,24500,5600
27,MPLS_0,85,9,0.72,7,12,4200,3600
27,MPLS_2,64,9,0.55,7,11,3500,1500
27,Internet,215,18,3,36,36,3600,0
28,MPLS_2,145,14,1.97,230,441,115000,3500
28,MPLS_0,61,11,0.42,46,80,32200,4200
28,MPLS_1,62,12,0.61,37,66,22200,4200
28,Internet,186,18,8,108,108,10800,0
29,MPLS_0,108,12,2.05,45,68,22500,4000
29,MPLS_2,79,9,0.52,9,15,5400,3600
29,MPLS_1,71,9,0.49,8,13,4800,3000
29,Internet,142,12,2,37,37,3700,0
30,MPLS_0,83,9,0.42,9,14,4500,3000
30,MPLS_2,83,15,1.15,42,79,33600,6400
30,MPLS_1,88,8,0.43,10,18,8000,6400
30,Internet,174,13,5,50,50,5000,0
31,MPLS_1,69,7,0.53,76,121,38000,5000
31,MPLS_0,102,14,1.13,176,279,123200,2800
31,Internet,161,18,6,104,104,10400,0
32,MPLS_0,89,13,0.47,9,14,7200,7200
32,MPLS_2,125,14,0.87,27,53,21600,6400
32,Internet,199,17,6,22,22,2200,0
33,MPLS_1,73,13,0.44,8,12,5600,5600
33,MPLS_0,92,13,1.04,33,56,16500,2000
33,Internet,220,14,9,29,29,2900,0
34,MPLS_0,105,15,0.89,72,124,57600,6400
34,MPLS_2,80,12,0.64,24,37,19200,7200
34,Internet,206,19,4,58,58,5800,0
35,MPLS_0,86,9,0.51,13,24,9100,4200
35,MPLS_2,139,12,1.97,32,52,25600,7200
35,Internet,149,14,1,17,17,1700,0
36,MPLS_1,82,16,1.07,161,298,128800,4000
36,MPLS_2,65,7,0.54,66,105,46200,2100
36,Internet,168,16,8,177,177,17700,0
37,MPLS_2,81,8,0.57,2,3,1400,3500
37,MPLS_1,74,9,0.55,2,3,1400,5600
37,MPLS_0,103,15,1.27,11,18,6600,2400
37,Internet,158,18,8,11,11,1100,0
38,MPLS_2,108,13,0.87,164,326,131200,5600
38,MPLS_1,70,12,0.72,27,46,16200,2400
38,MPLS_0,79,13,0.72,36,57,25200,5600
38,Internet,206,12,7,142,142,14200,0
39,MPLS_0,140,12,1.69,38,68,19000,5000
39,MPLS_2,74,7,0.59,19,29,15200,7200
39,Internet,195,15,9,27,27,2700,0
40,MPLS_2,107,13,0.9,122,223,73200,2400
40,MPLS_1,81,7,0.63,42,67,29400,3500
40,Internet,163,20,5,116,116,11600,0
41,MPLS_2,125,12,1.3,22,37,13200,4200
41,MPLS_1,65,8,0.73,5,8,3000,6000
41,MPLS_0,62,10,0.73,4,6,3200,5600
41,Internet,189,20,10,11,11,1100,0
42,MPLS_1,100,14,1.81,14,22,11200,4000
42,MPLS_2,88,12,0.72,3,5,1500,1500
42,MPLS_0,72,7,0.68,3,5,1500,3000
42,Internet,184,16,9,13,13,1300,0
43,MPLS_1,79,11,0.54,23,40,18400,3200
43,MPLS_0,119,16,1.01,53,101,26500,3000
43,Internet,210,19,9,57,57,5700,0
44,MPLS_1,74,12,0.43,3,4,1800,4200
44,MPLS_0,83,13,1.36,14,25,7000,2000
44,MPLS_2,64,12,0.57,2,3,1600,4800
44,Internet,187,14,1,16,16,1600,0
45,MPLS_0,89,15,2.04,19,32,15200,8000
45,MPLS_2,68,10,0.6,5,7,3000,5400
45,MPLS_1,80,7,0.46,4,6,3200,2400
45,Internet,217,14,5,15,15,1500,0
46,MPLS_1,140,15,1.98,24,42,14400,3000
46,MPLS_0,61,13,0.7,9,13,4500,4500
46,Internet,151,14,10,19,19,1900,0
47,MPLS_1,83,7,0.77,30,52,15000,4000
47,MPLS_0,84,13,0.98,79,150,63200,5600
47,Internet,209,13,9,64,64,6400,0
48,MPLS_1,83,15,1.32,81,138,40500,4500
48,MPLS_2,75,11,0.72,47,79,32900,4900
48,Internet,142,15,9,56,56,5600,0
49,MPLS_0,79,10,0.49,33,61,16500,4000
49,MPLS_1,101,12,1.29,60,97,48000,3200
49,Internet,171,17,7,39,39,3900,0
50,MPLS_2,72,13,0.72,90,138,54000,3600
50,MPLS_1,133,14,2,182,323,127400,4900
50,Internet,202,16,7,222,222,22200,0
51,MPLS_1,83,7,0.64,273,461,136500,3500
51,Internet,213,16,8,112,112,11200,0
52,MPLS_2,86,7,0.49,10,18,8000,2400
52,MPLS_1,112,16,1.81,29,55,20300,2800
52,Internet,172,16,2,21,21,2100,0
53,MPLS_0,91,14,1.4,65,109,52000,2400
53,MPLS_2,70,11,0.55,12,20,7200,4800
53,MPLS_1,62,13,0.48,12,19,8400,4900
53,Internet,199,17,5,57,57,5700,0
54,MPLS_1,71,10,0.41,0,0,0,3600
54,MPLS_0,72,7,0.5,0,0,0,3600
54,MPLS_2,125,15,1.54,4,7,3200,7200
54,Internet,181,12,1,2,2,200,0
55,MPLS_2,97,12,1.63,16,25,11200,2800
55,MPLS_1,83,12,0.56,7,13,4900,4200
55,Internet,149,19,10,16,16,1600,0
56,MPLS_0,70,10,0.64,53,103,31800,3600
56,MPLS_2,77,8,0.66,62,114,31000,4500
56,MPLS_1,96,12,1.35,254,497,177800,2800
56,Internet,167,17,10,141,141,14100,0
57,MPLS_2,89,9,0.44,1,1,700,5600
57,MPLS_0,85,15,1.67,9,16,6300,7000
57,MPLS_1,62,13,0.46,1,1,700,2800
57,Internet,173,18,5,6,6,600,0
58,MPLS_2,88,7,0.57,34,65,20400,4800
58,MPLS_1,134,16,0.89,81,128,64800,8000
58,Internet,216,19,6,80,80,8000,0
59,MPLS_2,89,7,0.75,6,11,4200,2100
59,MPLS_1,67,7,0.53,5,7,3000,3600
59,MPLS_0,149,13,1.91,31,59,18600,3000
59,Internet,214,14,9,18,18,1800,0
60,MPLS_1,81,11,0.57,6,9,3000,5000
60,MPLS_0,69,8,0.62,6,10,3000,3000
60,MPLS_2,113,13,1.73,29,47,20300,4200
60,Internet,218,12,10,18,18,1800,0
61,MPLS_1,88,13,0.6,52,78,41600,5600
61,MPLS_2,106,14,2.1,267,512,133500,2500
61,MPLS_0,85,13,0.45,51,93,30600,2400
61,Internet,212,19,4,167,167,16700,0
62,MPLS_0,87,8,0.54,6,9,3000,3000
62,MPLS_2,140,13,1.23,30,58,18000,2400
62,MPLS_1,64,7,0.65,7,11,5600,3200
62,Internet,175,14,9,21,21,2100,0
63,MPLS_2,75,10,0.45,115,205,80500,6300
63,Internet,156,14,8,85,85,8500,0
64,MPLS_2,87,7,0.41,18,27,12600,4900
64,MPLS_0,110,14,0.93,36,67,18000,2000
64,Internet,150,17,7,33,33,3300,0
65,MPLS_2,118,16,1.71,32,54,19200,6000
65,MPLS_0,71,9,0.49,14,26,9800,2100
65,Internet,197,16,9,36,36,3600,0
66,MPLS_1,65,9,0.49,4,6,2000,2000
66,MPLS_0,72,8,0.76,4,7,2000,4500
66,MPLS_2,145,16,1.88,21,36,12600,3600
66,Internet,168,19,3,14,14,1400,0
67,MPLS_2,62,10,0.75,8,12,5600,4900
67,MPLS_0,75,11,0.61,8,14,5600,2100
67,MPLS_1,96,12,1.12,34,53,27200,6400
67,Internet,219,17,6,27,27,2700,0
68,MPLS_2,89,7,0.66,41,71,28700,4200
68,MPLS_1,68,7,0.74,52,87,36400,4200
68,MPLS_0,107,16,1.89,265,462,132500,4000
68,Internet,188,16,4,179,179,17900,0
69,MPLS_0,78,13,0.64,82,163,41000,3500
69,MPLS_2,84,13,1.31,260,488,182000,6300
69,Internet,160,16,10,237,237,23700,0
70,MPLS_0,66,8,0.45,16,29,8000,4000
70,MPLS_2,81,14,1.81,47,83,28200,5400
70,Internet,209,15,6,49,49,4900,0
71,MPLS_1,80,14,1.6,11,17,6600,4200
71,MPLS_0,62,7,0.62,2,3,1000,5000
71,MPLS_2,63,10,0.66,2,3,1400,3500
71,Internet,185,13,1,8,8,800,0
72,MPLS_1,83,8,0.62,4,7,2000,2000
72,MPLS_0,97,14,1.73,9,15,6300,4900
72,Internet,151,19,7,6,6,600,0
73,MPLS_2,80,12,0.71,23,41,16100,6300
73,MPLS_1,139,13,2.1,46,91,27600,4800
73,Internet,194,17,7,56,56,5600,0
74,MPLS_1,86,11,0.69,5,8,3000,3000
74,MPLS_0,76,10,0.41,5,8,2500,3000
74,MPLS_2,84,16,1.1,23,39,13800,2400
74,Internet,143,17,5,16,16,1600,0
75,MPLS_1,131,12,1.92,60,101,42000,2800
75,MPLS_0,75,12,0.57,23,45,18400,7200
75,Internet,184,14,4,75,75,7500,0
76,MPLS_2,65,10,0.46,6,11,3000,3500
