LinkID,site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost_unit
0,0,MPLS_2,151,16,0.93,117,233,81900,4900
1,0,MPLS_0,75,8,0.74,62,102,43400,6300
2,0,Internet,182,12,9.0,77,77,7700,0
3,1,MPLS_1,71,7,0.53,36,55,18000,2000
4,1,MPLS_2,94,16,1.6,89,158,44500,1500
5,1,Internet,195,19,6.0,60,60,6000,0
6,2,MPLS_0,76,7,0.58,24,40,14400,4800
7,2,MPLS_2,151,12,0.81,60,119,30000,2000
8,2,Internet,182,15,6.0,47,47,4700,0
9,3,MPLS_1,89,10,0.51,50,99,35000,6300
10,3,Internet,220,18,6.0,31,31,3100,0
11,4,MPLS_0,65,11,0.63,20,36,12000,4800
12,4,MPLS_2,111,13,1.09,58,110,40600,3500
13,4,Internet,195,18,2.0,49,49,4900,0
14,5,MPLS_1,75,10,0.46,15,28,7500,2000
15,5,MPLS_2,115,16,1.49,42,65,29400,3500
16,5,Internet,182,13,5.0,25,25,2500,0
17,6,MPLS_2,85,9,0.6,8,15,4800,5400
18,6,MPLS_1,62,8,0.42,8,14,6400,8000
19,6,MPLS_0,145,13,1.7,31,48,21700,5600
20,6,Internet,169,16,3.0,32,32,3200,0
21,7,MPLS_2,61,9,0.71,20,31,12000,2400
22,7,MPLS_1,87,15,1.96,73,134,43800,4800
23,7,MPLS_0,61,12,0.71,17,26,13600,6400
24,7,Internet,210,12,7.0,83,83,8300,0
25,8,MPLS_2,96,16,1.37,29,54,14500,3000
26,8,MPLS_1,65,8,0.75,12,18,6000,3000
27,8,Internet,167,16,9.0,28,28,2800,0
28,9,MPLS_1,68,7,0.57,74,117,51800,7000
29,9,MPLS_2,109,16,1.91,189,324,132300,3500
30,9,Internet,168,18,1.0,121,121,12100,0
31,10,MPLS_1,81,13,0.59,204,388,163200,4800
32,10,MPLS_2,82,15,1.02,562,853,393400,5600
33,10,Internet,210,14,3.0,489,489,48900,0
34,11,MPLS_1,134,14,1.96,30,47,21000,3500
35,11,MPLS_2,84,11,0.65,13,24,10400,2400
36,11,Internet,156,12,10.0,24,24,2400,0
37,12,MPLS_0,87,7,0.66,30,59,18000,1800
38,12,Internet,180,14,7.0,16,16,1600,0
39,13,MPLS_0,69,7,0.41,6,9,3600,6000
40,13,MPLS_2,126,14,1.96,38,65,19000,4000
41,13,MPLS_1,76,11,0.77,8,13,6400,3200
42,13,Internet,141,20,4.0,20,20,2000,0
43,14,MPLS_1,87,13,1.66,9,16,4500,4500
44,14,MPLS_0,77,9,0.74,5,9,3500,5600
45,14,Internet,192,17,2.0,6,6,600,0
46,15,MPLS_2,62,9,0.47,78,132,62400,8000
47,15,MPLS_1,120,12,0.98,451,804,225500,3500
48,15,MPLS_0,70,9,0.58,71,126,56800,2400
49,15,Internet,204,14,10.0,354,354,35400,0
50,16,MPLS_2,93,12,1.34,42,74,21000,3500
51,16,MPLS_0,85,12,0.43,15,25,10500,4200
52,16,Internet,209,14,7.0,40,40,4000,0
53,17,MPLS_2,81,12,0.48,31,59,24800,8000
54,17,MPLS_0,118,13,1.37,82,130,65600,8000
55,17,Internet,197,12,9.0,55,55,5500,0
56,18,MPLS_0,61,7,0.55,18,27,9000,4000
57,18,MPLS_1,141,14,0.96,51,81,25500,4000
58,18,Internet,186,20,5.0,52,52,5200,0
59,19,MPLS_0,141,14,2.0,81,154,56700,2800
60,19,MPLS_2,76,10,0.47,16,29,8000,3500
61,19,MPLS_1,81,11,0.7,14,24,7000,3500
62,19,Internet,190,14,7.0,73,73,7300,0
63,20,MPLS_0,98,15,1.25,28,47,19600,5600
64,20,MPLS_2,67,13,0.67,14,24,7000,1500
65,20,Internet,152,13,4.0,23,23,2300,0
66,21,MPLS_0,64,8,0.53,29,43,20300,5600
67,21,MPLS_2,107,12,1.21,141,246,98700,5600
68,21,MPLS_1,81,11,0.54,28,48,22400,5600
69,21,Internet,169,14,5.0,146,146,14600,0
70,22,MPLS_0,82,11,0.74,55,102,33000,3600
71,22,MPLS_2,146,12,0.81,131,253,78600,3600
72,22,Internet,150,17,6.0,122,122,12200,0
73,23,MPLS_0,107,15,0.85,22,40,15400,3500
74,23,MPLS_1,85,10,0.78,9,14,5400,6000
75,23,Internet,170,12,1.0,26,26,2600,0
76,24,MPLS_0,145,16,1.66,62,105,37200,6000
77,24,MPLS_2,86,10,0.72,15,23,12000,8000
78,24,MPLS_1,80,9,0.64,15,28,12000,3200
79,24,Internet,174,20,8.0,59,59,5900,0
80,25,MPLS_1,99,15,1.04,12,18,9600,4800
81,25,MPLS_0,64,12,0.77,5,8,4000,8000
82,25,Internet,201,20,1.0,6,6,600,0
83,26,MPLS_0,94,12,1.64,12,22,9600,3200
84,26,MPLS_2,87,7,0.76,6,10,4200,5600
85,26,Internet,166,17,7.0,15,15,1500,0
86,27,MPLS_1,148,13,0.86,35,61,24500,5600
87,27,MPLS_0,85,9,0.72,7,12,4200,3600
88,27,MPLS_2,64,9,0.55,7,11,3500,1500
89,27,Internet,215,18,3.0,36,36,3600,0
90,28,MPLS_2,145,14,1.97,230,441,115000,3500
91,28,MPLS_0,61,11,0.42,46,80,32200,4200
92,28,MPLS_1,62,12,0.61,37,66,22200,4200
93,28,Internet,186,18,8.0,108,108,10800,0
94,29,MPLS_0,108,12,2.05,45,68,22500,4000
95,29,MPLS_2,79,9,0.52,9,15,5400,3600
96,29,MPLS_1,71,9,0.49,8,13,4800,3000
97,29,Internet,142,12,2.0,37,37,3700,0
98,30,MPLS_0,83,9,0.42,9,14,4500,3000
99,30,MPLS_2,83,15,1.15,42,79,33600,6400
100,30,MPLS_1,88,8,0.43,10,18,8000,6400
101,30,Internet,174,13,5.0,50,50,5000,0
102,31,MPLS_1,69,7,0.53,76,121,38000,5000
103,31,MPLS_0,102,14,1.13,176,279,123200,2800
104,31,Internet,161,18,6.0,104,104,10400,0
105,32,MPLS_0,89,13,0.47,9,14,7200,7200
106,32,MPLS_2,125,14,0.87,27,53,21600,6400
107,32,Internet,199,17,6.0,22,22,2200,0
108,33,MPLS_1,73,13,0.44,8,12,5600,5600
109,33,MPLS_0,92,13,1.04,33,56,16500,2000
110,33,Internet,220,14,9.0,29,29,2900,0
111,34,MPLS_0,105,15,0.89,72,124,57600,6400
112,34,MPLS_2,80,12,0.64,24,37,19200,7200
113,34,Internet,206,19,4.0,58,58,5800,0
114,35,MPLS_0,86,9,0.51,13,24,9100,4200
115,35,MPLS_2,139,12,1.97,32,52,25600,7200
116,35,Internet,149,14,1.0,17,17,1700,0
117,36,MPLS_1,82,16,1.07,161,298,128800,4000
118,36,MPLS_2,65,7,0.54,66,105,46200,2100
119,36,Internet,168,16,8.0,177,177,17700,0
120,37,MPLS_2,81,8,0.57,2,3,1400,3500
121,37,MPLS_1,74,9,0.55,2,3,1400,5600
122,37,MPLS_0,103,15,1.27,11,18,6600,2400
123,37,Internet,158,18,8.0,11,11,1100,0
124,38,MPLS_2,108,13,0.87,164,326,131200,5600
125,38,MPLS_1,70,12,0.72,27,46,16200,2400
126,38,MPLS_0,79,13,0.72,36,57,25200,5600
127,38,Internet,206,12,7.0,142,142,14200,0
128,39,MPLS_0,140,12,1.69,38,68,19000,5000
129,39,MPLS_2,74,7,0.59,19,29,15200,7200
130,39,Internet,195,15,9.0,27,27,2700,0
131,40,MPLS_2,107,13,0.9,122,223,73200,2400
132,40,MPLS_1,81,7,0.63,42,67,29400,3500
133,40,Internet,163,20,5.0,116,116,11600,0
134,41,MPLS_2,125,12,1.3,22,37,13200,4200
135,41,MPLS_1,65,8,0.73,5,8,3000,6000
136,41,MPLS_0,62,10,0.73,4,6,3200,5600
137,41,Internet,189,20,10.0,11,11,1100,0
138,42,MPLS_1,100,14,1.81,14,22,11200,4000
139,42,MPLS_2,88,12,0.72,3,5,1500,1500
140,42,MPLS_0,72,7,0.68,3,5,1500,3000
141,42,Internet,184,16,9.0,13,13,1300,0
142,43,MPLS_1,79,11,0.54,23,40,18400,3200
143,43,MPLS_0,119,16,1.01,53,101,26500,3000
144,43,Internet,210,19,9.0,57,57,5700,0
145,44,MPLS_1,74,12,0.43,3,4,1800,4200
146,44,MPLS_0,83,13,1.36,14,25,7000,2000
147,44,MPLS_2,64,12,0.57,2,3,1600,4800
148,44,Internet,187,14,1.0,16,16,1600,0
149,45,MPLS_0,89,15,2.04,19,32,15200,8000
150,45,MPLS_2,68,10,0.6,5,7,3000,5400
151,45,MPLS_1,80,7,0.46,4,6,3200,2400
152,45,Internet,217,14,5.0,15,15,1500,0
153,46,MPLS_1,140,15,1.98,24,42,14400,3000
154,46,MPLS_0,61,13,0.7,9,13,4500,4500
155,46,Internet,151,14,10.0,19,19,1900,0
156,47,MPLS_1,83,7,0.77,30,52,15000,4000
157,47,MPLS_0,84,13,0.98,79,150,63200,5600
158,47,Internet,209,13,9.0,64,64,6400,0
159,48,MPLS_1,83,15,1.32,81,138,40500,4500
160,48,MPLS_2,75,11,0.72,47,79,32900,4900
161,48,Internet,142,15,9.0,56,56,5600,0
162,49,MPLS_0,79,10,0.49,33,61,16500,4000
163,49,MPLS_1,101,12,1.29,60,97,48000,3200
164,49,Internet,171,17,7.0,39,39,3900,0
165,50,MPLS_2,72,13,0.72,90,138,54000,3600
166,50,MPLS_1,133,14,2.0,182,323,127400,4900
167,50,Internet,202,16,7.0,222,222,22200,0
168,51,MPLS_1,83,7,0.64,273,461,136500,3500
169,51,Internet,213,16,8.0,112,112,11200,0
