Index,In,Out
0,42.67243423,24.9200045
1,56.23068073,26.97363885
2,36.06834136,26.73045703
3,39.16929458,26.82647509
4,40.17558202,24.30236811
5,39.89668743,27.81215607
6,39.2325777,25.35273904
7,41.92835142,29.36692077
8,37.77903145,29.30719115
9,42.19627301,30.29709055
10,39.85791353,28.806676
11,39.7905757,32.4454716
12,31.87074628,29.12668343
13,36.78481107,29.27956413
14,32.12171087,33.9257395
15,33.81543905,27.59396207
16,34.17079616,27.17744309
17,36.0473775,28.42921989
18,35.88862516,27.27691485
19,37.65796825,29.00645742
20,38.12506714,26.66351637
21,42.44849043,26.3007283
22,39.19868842,24.17122562
23,39.21269573,24.73804658
24,40.88782412,25.0207188
25,43.44189912,27.0580335
26,41.83511114,28.29586317
27,41.73537904,26.74355065
28,44.85619719,24.94678264
29,43.30619874,25.20033108
30,43.23291485,24.88322369
31,41.84060448,24.55193724
32,38.9563677,25.05244229
33,42.3123048,25.94512176
34,37.70022113,26.05814084
35,36.88121726,27.76904236
36,31.65012659,23.03200586
37,33.76938659,25.39783826
38,32.21672975,25.58358879
39,36.10799703,23.79534075
40,39.37701802,24.22422921
41,40.86690753,28.76865681
42,42.01457741,24.02581392
43,44.42585169,24.73122642
44,40.61445468,23.57316851
45,46.41275847,23.13761656
46,51.35716657,22.5912058
47,53.90751048,24.80856108
48,54.88072144,24.07394427
49,52.89626086,24.35201116
50,46.41295262,25.37855064
51,49.42251545,25.55662426
52,59.37457772,26.96320035
53,52.271938,24.14216853
54,44.63848093,24.63999094
55,41.13732359,26.30747351
56,42.46335003,29.26609864
57,41.32645711,27.78863181
58,38.04953076,25.35101684
59,37.92557307,22.77333984
60,37.94174101,23.10784724
61,36.78605407,26.99576876
62,32.30340493,26.12494839
63,39.44194436,26.12193388
64,43.6856563,26.09113593
65,39.06417083,24.8529854
66,39.35674978,24.10289178
67,35.92017034,23.75312413
68,34.68761528,23.88496141
69,42.54397671,28.19298618
70,52.27928532,28.48800954
71,53.8485089,27.32861553
72,47.9377672,24.52526612
73,41.60429046,26.00025968
74,36.25976119,26.18542057
75,37.68332814,25.34864301
76,37.22051926,23.99323605
77,36.18311235,25.63552994
78,36.23071091,26.3075117
79,37.89396299,27.79887459
80,36.37283676,25.94209295
81,44.63214724,26.12932035
82,38.55701372,24.64197631
83,38.33789126,24.75303352
84,36.52090718,23.49083212
85,36.40887137,24.22409525
86,34.32088004,25.5457999
87,38.83024475,25.59175281
88,41.78261136,26.60709208
89,39.67401559,23.79708516
90,38.37433612,20.36978821
91,38.33895651,24.42683364
92,40.38571749,22.99781304
93,42.74959125,23.52861369
94,43.05200761,20.39395781
95,39.43450655,18.45608419
96,40.94693681,21.45178872
97,37.45719665,24.31916812
98,34.26331743,24.34929122
99,38.63916014,23.03703579
100,40.83480248,21.6040285
101,37.20942737,19.59878484
102,35.66650711,18.70224242
103,43.95984485,20.3467807
104,41.79406509,20.24000968
105,48.23449567,20.90807946
106,45.74298672,20.51694724
107,43.18282049,19.98906033
108,32.53608008,17.16529192
109,26.49951782,18.82264815
110,24.49347087,19.96353105
