site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost
0,MPLS_2,68,8,0.74,150,150,113600,0
0,MPLS_1,123,13,0.93,186,186,130200,0
0,Internet,196,15,2.0,204,204,20400,0
1,MPLS_1,130,14,1.06,231,231,138600,0
1,MPLS_2,86,11,0.68,66,66,39600,0
1,MPLS_0,86,7,0.74,53,53,26500,0
1,Internet,196,13,8.0,129,129,12900,0
2,MPLS_1,112,12,0.8,115,115,69000,0
2,MPLS_0,81,8,0.63,82,120,65600,2400
2,Internet,201,17,3.0,139,139,13900,0
3,MPLS_1,70,10,0.72,92,92,73600,0
3,Internet,184,16,5.0,66,66,6600,0
4,MPLS_2,85,9,0.4,77,77,53900,0
4,MPLS_1,106,16,1.3,131,131,91700,0
4,Internet,184,15,10.0,94,94,9400,0
5,MPLS_1,124,14,1.27,105,105,63000,0
5,MPLS_2,75,11,0.47,48,48,33600,0
5,Internet,156,12,8.0,102,102,10200,0
6,MPLS_1,87,14,1.67,82,82,65600,0
6,MPLS_2,61,13,0.42,33,45,26400,4000
6,MPLS_0,87,9,0.47,34,63,17000,1500
6,Internet,219,15,6.0,72,72,7200,0
7,MPLS_0,149,14,0.94,233,233,186400,0
7,MPLS_2,78,12,0.57,33,33,26400,0
7,MPLS_1,87,13,0.64,43,43,25800,0
7,Internet,167,13,10.0,178,178,17800,0
8,MPLS_0,79,13,0.77,26,48,15600,2400
8,MPLS_1,113,12,1.46,80,80,40000,0
8,Internet,200,15,6.0,52,52,5200,0
9,MPLS_1,87,8,0.76,69,69,55200,0
9,MPLS_2,79,8,0.56,65,65,45500,0
9,MPLS_0,84,15,1.5,212,212,148400,0
9,Internet,154,15,6.0,132,132,13200,0
RDC,Internet,140,13,4.0,1000,1000,100000,0
RDC,MPLS_0,127,15,1.07,400,400,200000,0
RDC,MPLS_1,91,18,1.97,693,800,346500,4200
RDC,MPLS_2,83,14,1.6,400,400,200000,0
