site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost
0,MPLS_2,79,8,0.75,42,76,29400,4900
0,MPLS_1,106,13,1.15,138,233,110400,8000
0,Internet,175,19,10,130,130,13000,0
1,MPLS_2,145,14,1.42,76,122,53200,4200
1,MPLS_0,61,7,0.45,33,62,26400,8000
1,Internet,163,19,9,87,87,8700,0
2,MPLS_0,63,11,0.65,9,15,6300,7000
2,MPLS_2,81,16,1.02,56,96,44800,5600
2,MPLS_1,64,13,0.6,12,18,8400,3500
2,Internet,207,19,7,34,34,3400,0
3,MPLS_1,94,15,1.41,41,72,32800,3200
3,MPLS_2,63,12,0.68,16,25,9600,3600
3,Internet,182,15,9,39,39,3900,0
4,MPLS_1,81,8,0.45,22,37,13200,4800
4,MPLS_0,118,15,1.96,53,85,37100,4200
4,Internet,152,13,4,31,31,3100,0
5,MPLS_2,71,13,0.47,59,90,41300,7000
5,Internet,190,13,4,37,37,3700,0
6,MPLS_1,135,12,2.06,40,61,20000,3500
6,MPLS_0,74,11,0.76,15,26,9000,4800
6,Internet,207,17,4,24,24,2400,0
7,MPLS_2,65,11,0.41,28,44,16800,3600
7,MPLS_0,145,12,1.51,93,147,74400,4000
7,Internet,140,20,10,85,85,8500,0
8,MPLS_1,122,15,1.1,31,53,18600,5400
8,MPLS_0,87,7,0.67,6,11,4200,6300
8,MPLS_2,61,11,0.59,7,13,5600,4000
8,Internet,202,17,2,32,32,3200,0
9,MPLS_2,67,13,0.73,36,67,25200,2800
9,MPLS_1,113,12,1.49,116,196,69600,3000
9,MPLS_0,89,7,0.47,33,65,19800,2400
9,Internet,205,17,5,165,165,16500,0
10,MPLS_1,75,8,0.65,125,218,100000,7200
10,MPLS_2,149,14,1.86,561,988,336600,2400
10,MPLS_0,78,7,0.41,102,189,61200,6000
10,Internet,174,13,2,500,500,50000,0
11,MPLS_0,89,12,0.49,5,8,2500,3500
11,MPLS_2,67,8,0.68,6,9,4200,3500
11,MPLS_1,127,14,0.96,33,62,26400,2400
11,Internet,154,18,2,26,26,2600,0
12,MPLS_2,85,8,0.74,9,14,7200,4000
12,MPLS_0,143,12,2.07,21,34,12600,4200
12,Internet,208,15,9,13,13,1300,0
13,MPLS_2,87,15,0.93,37,67,29600,8000
13,MPLS_0,83,11,0.48,14,21,9800,3500
13,Internet,211,12,2,26,26,2600,0
14,MPLS_0,86,13,0.49,3,5,2400,5600
14,MPLS_2,109,14,1.63,7,13,3500,3500
14,Internet,169,13,5,6,6,600,0
15,MPLS_1,84,7,0.7,74,127,59200,4000
15,MPLS_0,85,12,0.57,76,131,60800,4800
15,MPLS_2,107,16,0.86,470,781,282000,5400
15,Internet,144,19,10,263,263,26300,0
16,MPLS_0,118,14,1.34,44,78,30800,2800
16,MPLS_1,82,13,0.46,14,22,11200,4800
16,Internet,176,17,8,25,25,2500,0
17,MPLS_0,74,13,0.48,34,60,27200,2400
17,MPLS_1,110,13,2.03,70,117,42000,2400
17,Internet,142,14,9,77,77,7700,0
18,MPLS_2,63,12,0.69,20,38,16000,5600
18,MPLS_0,115,14,1.95,52,96,31200,3000
18,Internet,215,19,5,45,45,4500,0
19,MPLS_1,66,10,0.52,17,27,13600,4800
19,MPLS_0,116,15,1.92,66,115,52800,7200
19,MPLS_2,80,13,0.63,18,27,14400,4000
19,Internet,175,17,1,80,80,8000,0
20,MPLS_1,125,16,2.07,34,57,23800,6300
20,MPLS_0,68,8,0.48,8,14,4000,5000
20,MPLS_2,85,12,0.68,7,11,3500,2500
20,Internet,194,16,10,29,29,2900,0
21,MPLS_1,141,16,1.66,102,176,61200,4800
21,MPLS_0,77,13,0.68,62,99,49600,4000
21,Internet,207,14,9,113,113,11300,0
22,MPLS_2,87,15,1.33,123,222,73800,4200
22,MPLS_0,64,7,0.62,25,47,17500,6300
22,MPLS_1,65,10,0.7,21,32,16800,4800
22,Internet,143,18,2,90,90,9000,0
23,MPLS_2,105,13,2,19,37,15200,4000
23,MPLS_0,75,8,0.51,8,14,4800,3600
23,Internet,140,15,9,23,23,2300,0
24,MPLS_0,108,14,1.94,69,131,41400,3600
24,MPLS_1,63,12,0.59,29,49,14500,2500
24,Internet,150,17,1,55,55,5500,0
25,MPLS_1,82,7,0.61,2,3,1600,6400
25,MPLS_0,63,8,0.58,2,3,1400,3500
25,MPLS_2,138,13,1.85,11,18,5500,4500
25,Internet,151,19,8,10,10,1000,0
26,MPLS_0,84,10,0.74,6,11,3000,3000
26,MPLS_1,127,12,2.04,18,33,10800,6000
26,Internet,172,14,2,15,15,1500,0
27,MPLS_2,86,14,1.58,27,49,13500,2000
27,MPLS_1,60,7,0.72,17,32,10200,1800
27,Internet,145,19,8,26,26,2600,0
28,MPLS_2,83,10,0.7,249,411,149400,2400
28,Internet,156,14,10,161,161,16100,0
29,MPLS_2,85,10,0.6,17,25,11900,2800
29,MPLS_0,110,14,1.13,46,80,27600,2400
29,Internet,206,12,5,25,25,2500,0
30,MPLS_0,62,10,0.41,18,32,12600,5600
30,MPLS_2,80,16,2.03,63,125,31500,2500
30,Internet,195,16,1,45,45,4500,0
31,MPLS_1,89,8,0.71,37,58,29600,3200
31,MPLS_0,89,12,0.76,35,60,24500,4200
31,MPLS_2,85,14,1.68,133,227,93100,2100
31,Internet,164,15,4,174,174,17400,0
32,MPLS_2,74,11,0.5,9,13,6300,4200
32,MPLS_1,118,14,1.58,26,42,18200,2100
32,Internet,212,15,6,22,22,2200,0
33,MPLS_2,81,13,0.58,5,7,2500,4500
33,MPLS_1,139,14,1.69,28,50,16800,4800
33,MPLS_0,80,10,0.71,5,9,3500,2100
33,Internet,173,14,4,14,14,1400,0
34,MPLS_1,127,15,1.75,72,135,57600,3200
34,MPLS_0,75,7,0.62,13,25,6500,3500
34,MPLS_2,70,9,0.63,11,19,7700,2100
34,Internet,152,16,7,60,60,6000,0
35,MPLS_1,71,11,0.42,45,88,27000,3000
35,Internet,180,13,10,24,24,2400,0
36,MPLS_0,137,12,1.49,158,238,110600,7000
36,MPLS_2,63,10,0.73,26,41,13000,5000
36,MPLS_1,74,11,0.72,27,50,16200,4200
36,Internet,186,17,10,144,144,14400,0
37,MPLS_2,69,13,0.52,2,3,1600,2400
37,MPLS_1,60,10,0.63,2,3,1200,2400
37,MPLS_0,81,16,0.89,16,25,8000,4500
37,Internet,194,16,2,13,13,1300,0
38,MPLS_1,80,11,0.54,69,106,55200,2400
38,MPLS_0,98,14,1.95,132,254,66000,2000
38,Internet,159,16,10,85,85,8500,0
39,MPLS_0,121,14,1.91,32,49,16000,3000
39,MPLS_1,68,11,0.51,19,31,13300,4900
39,Internet,166,20,10,27,27,2700,0
40,MPLS_2,81,9,0.53,46,78,23000,1500
40,MPLS_0,81,12,2.04,140,262,98000,5600
40,Internet,150,16,10,102,102,10200,0
41,MPLS_0,83,12,2.07,18,31,12600,2100
41,MPLS_1,64,9,0.45,7,13,5600,4800
41,Internet,161,13,7,18,18,1800,0
42,MPLS_1,77,8,0.42,20,34,12000,4800
42,Internet,166,15,9,10,10,1000,0
43,MPLS_2,117,15,1.2,54,82,32400,4800
43,MPLS_1,66,12,0.62,22,40,15400,4900
43,Internet,205,15,6,31,31,3100,0
44,MPLS_0,86,11,0.46,6,11,4200,3500
44,MPLS_2,139,16,1.78,16,27,9600,5400
44,Internet,218,17,7,14,14,1400,0
45,MPLS_0,88,10,0.58,9,13,7200,7200
