LinkID,site,cloud,latency(ms),jitter(ms),lost(%),base_capacity,capacity,fixed_cost,variable_cost
0,0,MPLS_2,79,8,0.75,42,76,29400,4900
1,0,MPLS_1,106,13,1.15,138,233,110400,8000
2,0,Internet,175,19,10.0,130,130,13000,0
3,1,MPLS_2,145,14,1.42,76,122,53200,4200
4,1,MPLS_0,61,7,0.45,33,62,26400,8000
5,1,Internet,163,19,9.0,87,87,8700,0
6,2,MPLS_0,63,11,0.65,9,15,6300,7000
7,2,MPLS_2,81,16,1.02,56,96,44800,5600
8,2,MPLS_1,64,13,0.6,12,18,8400,3500
9,2,Internet,207,19,7.0,34,34,3400,0
10,3,MPLS_1,94,15,1.41,41,72,32800,3200
11,3,MPLS_2,63,12,0.68,16,25,9600,3600
12,3,Internet,182,15,9.0,39,39,3900,0
13,4,MPLS_1,81,8,0.45,22,37,13200,4800
14,4,MPLS_0,118,15,1.96,53,85,37100,4200
15,4,Internet,152,13,4.0,31,31,3100,0
16,5,MPLS_2,71,13,0.47,59,90,41300,7000
17,5,Internet,190,13,4.0,37,37,3700,0
18,6,MPLS_1,135,12,2.06,40,61,20000,3500
19,6,MPLS_0,74,11,0.76,15,26,9000,4800
20,6,Internet,207,17,4.0,24,24,2400,0
21,7,MPLS_2,65,11,0.41,28,44,16800,3600
22,7,MPLS_0,145,12,1.51,93,147,74400,4000
23,7,Internet,140,20,10.0,85,85,8500,0
24,8,MPLS_1,122,15,1.1,31,53,18600,5400
25,8,MPLS_0,87,7,0.67,6,11,4200,6300
26,8,MPLS_2,61,11,0.59,7,13,5600,4000
27,8,Internet,202,17,2.0,32,32,3200,0
28,9,MPLS_2,67,13,0.73,36,67,25200,2800
29,9,MPLS_1,113,12,1.49,116,196,69600,3000
30,9,MPLS_0,89,7,0.47,33,65,19800,2400
31,9,Internet,205,17,5.0,165,165,16500,0
32,10,MPLS_1,75,8,0.65,125,218,100000,7200
33,10,MPLS_2,149,14,1.86,561,988,336600,2400
34,10,MPLS_0,78,7,0.41,102,189,61200,6000
35,10,Internet,174,13,2.0,500,500,50000,0
36,11,MPLS_0,89,12,0.49,5,8,2500,3500
37,11,MPLS_2,67,8,0.68,6,9,4200,3500
38,11,MPLS_1,127,14,0.96,33,62,26400,2400
39,11,Internet,154,18,2.0,26,26,2600,0
40,12,MPLS_2,85,8,0.74,9,14,7200,4000
41,12,MPLS_0,143,12,2.07,21,34,12600,4200
42,12,Internet,208,15,9.0,13,13,1300,0
43,13,MPLS_2,87,15,0.93,37,67,29600,8000
44,13,MPLS_0,83,11,0.48,14,21,9800,3500
45,13,Internet,211,12,2.0,26,26,2600,0
46,14,MPLS_0,86,13,0.49,3,5,2400,5600
47,14,MPLS_2,109,14,1.63,7,13,3500,3500
48,14,Internet,169,13,5.0,6,6,600,0
49,15,MPLS_1,84,7,0.7,74,127,59200,4000
50,15,MPLS_0,85,12,0.57,76,131,60800,4800
51,15,MPLS_2,107,16,0.86,470,781,282000,5400
52,15,Internet,144,19,10.0,263,263,26300,0
53,16,MPLS_0,118,14,1.34,44,78,30800,2800
54,16,MPLS_1,82,13,0.46,14,22,11200,4800
55,16,Internet,176,17,8.0,25,25,2500,0
56,17,MPLS_0,74,13,0.48,34,60,27200,2400
57,17,MPLS_1,110,13,2.03,70,117,42000,2400
58,17,Internet,142,14,9.0,77,77,7700,0
59,18,MPLS_2,63,12,0.69,20,38,16000,5600
60,18,MPLS_0,115,14,1.95,52,96,31200,3000
61,18,Internet,215,19,5.0,45,45,4500,0
62,19,MPLS_1,66,10,0.52,17,27,13600,4800
63,19,MPLS_0,116,15,1.92,66,115,52800,7200
64,19,MPLS_2,80,13,0.63,18,27,14400,4000
65,19,Internet,175,17,1.0,80,80,8000,0
66,20,MPLS_1,125,16,2.07,34,57,23800,6300
67,20,MPLS_0,68,8,0.48,8,14,4000,5000
68,20,MPLS_2,85,12,0.68,7,11,3500,2500
69,20,Internet,194,16,10.0,29,29,2900,0
70,21,MPLS_1,141,16,1.66,102,176,61200,4800
71,21,MPLS_0,77,13,0.68,62,99,49600,4000
72,21,Internet,207,14,9.0,113,113,11300,0
73,22,MPLS_2,87,15,1.33,123,222,73800,4200
74,22,MPLS_0,64,7,0.62,25,47,17500,6300
75,22,MPLS_1,65,10,0.7,21,32,16800,4800
76,22,Internet,143,18,2.0,90,90,9000,0
77,23,MPLS_2,105,13,2.0,19,37,15200,4000
78,23,MPLS_0,75,8,0.51,8,14,4800,3600
79,23,Internet,140,15,9.0,23,23,2300,0
80,24,MPLS_0,108,14,1.94,69,131,41400,3600
81,24,MPLS_1,63,12,0.59,29,49,14500,2500
82,24,Internet,150,17,1.0,55,55,5500,0
83,25,MPLS_1,82,7,0.61,2,3,1600,6400
84,25,MPLS_0,63,8,0.58,2,3,1400,3500
85,25,MPLS_2,138,13,1.85,11,18,5500,4500
86,25,Internet,151,19,8.0,10,10,1000,0
87,26,MPLS_0,84,10,0.74,6,11,3000,3000
88,26,MPLS_1,127,12,2.04,18,33,10800,6000
89,26,Internet,172,14,2.0,15,15,1500,0
90,27,MPLS_2,86,14,1.58,27,49,13500,2000
91,27,MPLS_1,60,7,0.72,17,32,10200,1800
92,27,Internet,145,19,8.0,26,26,2600,0
93,28,MPLS_2,83,10,0.7,249,411,149400,2400
94,28,Internet,156,14,10.0,161,161,16100,0
95,29,MPLS_2,85,10,0.6,17,25,11900,2800
96,29,MPLS_0,110,14,1.13,46,80,27600,2400
97,29,Internet,206,12,5.0,25,25,2500,0
98,30,MPLS_0,62,10,0.41,18,32,12600,5600
99,30,MPLS_2,80,16,2.03,63,125,31500,2500
100,30,Internet,195,16,1.0,45,45,4500,0
101,31,MPLS_1,89,8,0.71,37,58,29600,3200
102,31,MPLS_0,89,12,0.76,35,60,24500,4200
103,31,MPLS_2,85,14,1.68,133,227,93100,2100
104,31,Internet,164,15,4.0,174,174,17400,0
105,32,MPLS_2,74,11,0.5,9,13,6300,4200
106,32,MPLS_1,118,14,1.58,26,42,18200,2100
107,32,Internet,212,15,6.0,22,22,2200,0
108,33,MPLS_2,81,13,0.58,5,7,2500,4500
109,33,MPLS_1,139,14,1.69,28,50,16800,4800
110,33,MPLS_0,80,10,0.71,5,9,3500,2100
111,33,Internet,173,14,4.0,14,14,1400,0
112,34,MPLS_1,127,15,1.75,72,135,57600,3200
113,34,MPLS_0,75,7,0.62,13,25,6500,3500
114,34,MPLS_2,70,9,0.63,11,19,7700,2100
115,34,Internet,152,16,7.0,60,60,6000,0
116,35,MPLS_1,71,11,0.42,45,88,27000,3000
117,35,Internet,180,13,10.0,24,24,2400,0
118,36,MPLS_0,137,12,1.49,158,238,110600,7000
119,36,MPLS_2,63,10,0.73,26,41,13000,5000
120,36,MPLS_1,74,11,0.72,27,50,16200,4200
121,36,Internet,186,17,10.0,144,144,14400,0
122,37,MPLS_2,69,13,0.52,2,3,1600,2400
123,37,MPLS_1,60,10,0.63,2,3,1200,2400
124,37,MPLS_0,81,16,0.89,16,25,8000,4500
125,37,Internet,194,16,2.0,13,13,1300,0
126,38,MPLS_1,80,11,0.54,69,106,55200,2400
127,38,MPLS_0,98,14,1.95,132,254,66000,2000
128,38,Internet,159,16,10.0,85,85,8500,0
129,39,MPLS_0,121,14,1.91,32,49,16000,3000
130,39,MPLS_1,68,11,0.51,19,31,13300,4900
131,39,Internet,166,20,10.0,27,27,2700,0
132,40,MPLS_2,81,9,0.53,46,78,23000,1500
133,40,MPLS_0,81,12,2.04,140,262,98000,5600
134,40,Internet,150,16,10.0,102,102,10200,0
135,41,MPLS_0,83,12,2.07,18,31,12600,2100
136,41,MPLS_1,64,9,0.45,7,13,5600,4800
137,41,Internet,161,13,7.0,18,18,1800,0
138,42,MPLS_1,77,8,0.42,20,34,12000,4800
139,42,Internet,166,15,9.0,10,10,1000,0
140,43,MPLS_2,117,15,1.2,54,82,32400,4800
141,43,MPLS_1,66,12,0.62,22,40,15400,4900
142,43,Internet,205,15,6.0,31,31,3100,0
143,44,MPLS_0,86,11,0.46,6,11,4200,3500
144,44,MPLS_2,139,16,1.78,16,27,9600,5400
